Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines,SG,25,OKC,31,2,19.0,1.8,5.1,1.3,4.1,.323,0.5,1.0,.500,0.4,0.4,.923,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,5.3
Jaylen Adams,PG,22,ATL,34,1,12.6,1.1,3.2,0.7,2.2,.338,0.4,1.1,.361,0.2,0.3,.778,0.3,1.4,1.8,1.9,0.4,0.1,0.8,1.3,3.2
Steven Adams,C,25,OKC,80,80,33.4,6.0,10.1,0.0,0.0,.000,6.0,10.1,.596,1.8,3.7,.500,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9
Bam Adebayo,C,21,MIA,82,28,23.3,3.4,5.9,0.0,0.2,.200,3.4,5.7,.588,2.0,2.8,.735,2.0,5.3,7.3,2.2,0.9,0.8,1.5,2.5,8.9
Deng Adel,SF,21,CLE,19,3,10.2,0.6,1.9,0.3,1.2,.261,0.3,0.7,.385,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,3.1,0.4,1.4,0.0,0.6,.000,0.4,0.9,.500,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
LaMarcus Aldridge,C,33,SAS,81,81,33.2,8.4,16.3,0.1,0.5,.238,8.3,15.8,.528,4.3,5.1,.847,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3
Grayson Allen,SG,23,UTA,38,2,10.9,1.8,4.7,0.8,2.6,.323,0.9,2.1,.443,1.2,1.6,.750,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6
Jarrett Allen,C,20,BRK,80,80,26.2,4.2,7.1,0.1,0.6,.133,4.1,6.5,.629,2.5,3.5,.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9
Kadeem Allen,PG,26,NYK,19,1,21.9,3.4,7.4,0.9,1.9,.472,2.5,5.5,.457,2.2,2.8,.778,0.4,2.3,2.7,4.0,0.8,0.2,1.4,2.4,9.9
Justin Anderson,SF,25,ATL,48,4,9.6,1.3,3.3,0.5,1.6,.312,0.8,1.7,.500,0.5,0.7,.743,0.5,1.3,1.8,0.5,0.5,0.3,0.5,1.0,3.7
Kyle Anderson,SF,25,MEM,43,40,29.8,3.5,6.4,0.2,0.8,.265,3.3,5.6,.583,0.9,1.5,.578,1.1,4.7,5.8,3.0,1.3,0.9,1.3,2.6,8.0
Ike Anigbogu,C,20,IND,3,0,2.0,0.0,1.0,0.0,0.0,0,0.0,1.0,.000,0.0,0.0,0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0
OG Anunoby,SF,21,TOR,67,6,20.2,2.7,6.0,1.0,3.0,.332,1.7,3.0,.574,0.5,0.9,.581,0.9,2.1,2.9,0.7,0.7,0.3,0.8,2.1,7.0
Trevor Ariza,SF,33,TOT,69,69,34.0,4.3,10.7,2.1,6.3,.334,2.2,4.4,.493,1.9,2.4,.793,0.7,4.7,5.4,3.7,1.3,0.3,1.5,1.9,12.5
Trevor Ariza,SF,33,PHO,26,26,34.0,3.3,8.7,1.9,5.3,.360,1.4,3.4,.409,1.4,1.7,.837,0.6,5.0,5.6,3.3,1.5,0.3,1.5,1.7,9.9
Trevor Ariza,SF,33,WAS,43,43,34.1,4.8,11.8,2.2,6.9,.322,2.6,5.0,.528,2.2,2.8,.777,0.8,4.5,5.3,3.8,1.2,0.3,1.6,2.0,14.1
D.J. Augustin,PG,31,ORL,81,81,28.0,3.9,8.4,1.6,3.8,.421,2.3,4.5,.511,2.2,2.6,.866,0.5,2.0,2.5,5.3,0.6,0.0,1.6,1.4,11.7
Deandre Ayton,C,20,PHO,71,70,30.7,7.2,12.3,0.0,0.1,.000,7.2,12.2,.588,2.0,2.7,.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3
Dwayne Bacon,SG,23,CHO,43,13,17.7,2.8,6.0,0.9,2.0,.437,2.0,4.0,.494,0.8,1.1,.739,0.2,1.9,2.1,1.1,0.3,0.1,0.4,1.7,7.3
Ron Baker,SG,25,TOT,15,0,10.1,0.3,1.3,0.1,0.9,.077,0.2,0.5,.429,0.3,0.4,.833,0.1,0.7,0.7,1.0,0.4,0.1,0.3,1.2,0.9
Ron Baker,SG,25,NYK,11,0,9.7,0.4,1.5,0.1,0.8,.111,0.3,0.6,.429,0.5,0.5,.833,0.1,0.5,0.6,1.2,0.5,0.0,0.3,1.5,1.3
Ron Baker,SG,25,WAS,4,0,11.3,0.0,1.0,0.0,1.0,.000,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.5,0.3,0.3,0.5,0.5,0.0
Wade Baldwin,PG,22,POR,16,0,5.9,0.6,2.1,0.1,0.6,.222,0.5,1.5,.333,0.5,0.7,.727,0.1,0.8,0.9,0.8,0.1,0.1,0.9,0.7,1.9
Lonzo Ball,PG,21,LAL,47,45,30.3,3.9,9.7,1.6,4.9,.329,2.3,4.9,.482,0.4,1.0,.417,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9
Mo Bamba,C,20,ORL,47,1,16.3,2.5,5.2,0.4,1.5,.300,2.0,3.7,.555,0.8,1.3,.587,1.4,3.6,5.0,0.8,0.3,1.4,0.9,2.2,6.2
Harrison Barnes,SF,26,SAC,28,28,33.9,5.0,11.1,1.9,4.6,.408,3.1,6.4,.489,2.3,2.9,.800,0.8,4.8,5.5,1.9,0.6,0.1,1.1,1.5,14.3
Will Barton,SF,28,DEN,43,38,27.7,4.3,10.7,1.6,4.6,.342,2.7,6.1,.447,1.3,1.7,.770,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5
Keita Bates-Diop,SF,23,MIN,30,3,16.8,2.0,4.7,0.4,1.7,.250,1.6,3.0,.522,0.6,0.9,.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1.0,5.0
Nicolas Batum,SF,30,CHO,75,72,31.4,3.4,7.5,1.5,4.0,.389,1.8,3.5,.519,1.0,1.2,.865,0.9,4.3,5.2,3.3,0.9,0.6,1.6,1.9,9.3
Jerryd Bayless,PG,30,MIN,34,6,19.3,2.4,6.8,0.9,2.9,.296,1.6,3.9,.402,0.5,0.8,.571,0.3,1.5,1.8,3.5,0.5,0.1,0.9,1.6,6.1
Aron Baynes,C,32,BOS,51,18,16.1,2.1,4.4,0.4,1.2,.344,1.6,3.2,.519,1.0,1.2,.855,1.7,3.0,4.7,1.1,0.2,0.7,0.8,2.5,5.6
Kent Bazemore,SG,29,ATL,67,35,24.5,4.1,10.3,1.4,4.5,.320,2.7,5.8,.465,1.9,2.6,.726,0.6,3.3,3.9,2.3,1.3,0.6,1.8,2.5,11.6
Bradley Beal,SG,25,WAS,82,82,36.9,9.3,19.6,2.5,7.3,.351,6.8,12.4,.548,4.4,5.5,.808,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,25.6
Malik Beasley,SG,22,DEN,81,18,23.2,4.3,9.1,2.0,5.0,.402,2.3,4.1,.560,0.7,0.8,.848,0.4,2.0,2.5,1.2,0.7,0.1,0.7,1.4,11.3
Marco Belinelli,SG,32,SAS,79,1,23.0,3.6,8.7,1.9,5.0,.372,1.7,3.7,.468,1.4,1.6,.903,0.2,2.3,2.5,1.7,0.4,0.1,0.9,1.5,10.5
Jordan Bell,C,24,GSW,68,3,11.6,1.5,2.8,0.0,0.0,.000,1.5,2.8,.521,0.4,0.6,.610,0.8,1.9,2.7,1.1,0.3,0.8,0.6,1.2,3.3
DeAndre' Bembry,SG,24,ATL,82,15,23.5,3.4,7.5,0.6,2.1,.289,2.7,5.4,.508,1.1,1.7,.640,0.7,3.7,4.4,2.5,1.3,0.5,1.7,2.3,8.4
Dairis Bertāns,SG,29,NOP,12,0,13.9,1.0,3.9,0.8,2.8,.294,0.2,1.1,.154,0.0,0.0,0,0.2,0.6,0.8,0.8,0.1,0.0,0.2,0.6,2.8
Patrick Beverley,PG,30,LAC,78,49,27.4,2.5,6.1,1.4,3.6,.397,1.1,2.5,.421,1.2,1.6,.780,1.0,4.0,5.0,3.8,0.9,0.6,1.1,3.4,7.6
Khem Birch,C,26,ORL,50,1,12.9,1.8,3.0,0.0,0.0,.000,1.8,3.0,.607,1.2,1.7,.699,1.6,2.2,3.8,0.8,0.4,0.6,0.4,1.4,4.8
Bismack Biyombo,C,26,CHO,54,32,14.5,1.6,2.9,0.0,0.0,0,1.6,2.9,.571,1.1,1.7,.637,1.5,3.1,4.6,0.6,0.2,0.8,0.6,1.9,4.4
Eric Bledsoe,PG,29,MIL,78,78,29.1,6.0,12.4,1.6,4.8,.329,4.4,7.6,.582,2.3,3.0,.750,1.1,3.6,4.6,5.5,1.5,0.4,2.1,2.0,15.9
Jaron Blossomgame,SF,25,CLE,27,4,16.3,1.7,3.9,0.4,1.4,.256,1.4,2.5,.552,0.4,0.5,.769,1.0,2.7,3.6,0.5,0.3,0.3,0.4,0.7,4.2
Bogdan Bogdanović,SG,26,SAC,70,17,27.8,5.2,12.3,1.9,5.3,.360,3.2,7.0,.462,1.9,2.3,.827,0.6,2.9,3.5,3.8,1.0,0.2,1.7,2.0,14.1
Bojan Bogdanović,SF,29,IND,81,81,31.8,6.4,13.0,2.0,4.8,.425,4.4,8.2,.538,3.0,3.8,.807,0.4,3.7,4.1,2.0,0.9,0.0,1.7,1.7,18.0
Andrew Bogut,C,34,GSW,11,5,12.2,1.6,3.3,0.0,0.0,0,1.6,3.3,.500,0.3,0.3,1.000,1.1,3.9,5.0,1.0,0.3,0.7,0.7,2.0,3.5
Isaac Bonga,PG,19,LAL,22,0,5.5,0.2,1.5,0.0,0.4,.000,0.2,1.1,.200,0.4,0.7,.600,0.4,0.7,1.1,0.7,0.4,0.2,0.3,0.4,0.9
Devin Booker,SG,22,PHO,64,64,35.0,9.2,19.6,2.1,6.5,.326,7.0,13.1,.536,6.1,7.1,.866,0.6,3.5,4.1,6.8,0.9,0.2,4.1,3.1,26.6
Avery Bradley,SG,28,TOT,63,63,30.2,3.9,9.7,1.4,3.9,.351,2.6,5.8,.446,0.7,0.8,.860,0.7,2.1,2.8,2.4,0.7,0.3,1.4,2.7,9.9
Avery Bradley,SG,28,LAC,49,49,29.9,3.3,8.6,1.2,3.5,.337,2.1,5.1,.415,0.4,0.5,.800,0.7,2.0,2.7,2.0,0.6,0.3,1.2,2.7,8.2
Avery Bradley,SG,28,MEM,14,14,31.6,6.2,13.4,2.0,5.2,.384,4.2,8.2,.513,1.6,1.8,.920,0.6,2.6,3.1,4.0,1.0,0.0,2.0,2.4,16.1
Tony Bradley,C,21,UTA,3,0,12.0,2.7,5.3,0.0,0.0,0,2.7,5.3,.500,0.3,0.7,.500,3.0,2.0,5.0,0.3,0.7,0.7,1.0,2.0,5.7
Corey Brewer,SF,32,TOT,31,3,15.9,1.7,4.0,0.5,1.4,.318,1.3,2.5,.494,1.0,1.4,.721,0.8,1.6,2.5,1.3,1.0,0.2,0.6,2.0,4.9
Corey Brewer,SF,32,PHI,7,3,20.0,2.9,7.0,0.6,2.0,.286,2.3,5.0,.457,1.3,1.9,.692,0.6,1.9,2.4,1.4,1.7,0.3,1.1,2.3,7.6
Corey Brewer,SF,32,SAC,24,0,14.7,1.4,3.1,0.4,1.3,.333,1.0,1.8,.523,0.9,1.3,.733,0.9,1.5,2.5,1.2,0.8,0.2,0.5,2.0,4.1
Mikal Bridges,SF,22,PHO,82,56,29.5,3.0,6.9,1.3,3.8,.335,1.7,3.0,.548,1.2,1.4,.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3
Miles Bridges,SF,20,CHO,80,25,21.2,3.0,6.4,0.8,2.5,.325,2.2,3.9,.553,0.7,1.0,.753,0.8,3.2,4.0,1.2,0.7,0.6,0.6,1.4,7.5
Isaiah Briscoe,PG,22,ORL,39,0,14.3,1.4,3.5,0.3,0.9,.324,1.1,2.7,.423,0.4,0.7,.577,0.1,1.8,1.9,2.2,0.3,0.1,0.8,1.7,3.5
Malcolm Brogdon,SG,26,MIL,64,64,28.6,5.9,11.7,1.6,3.8,.426,4.3,7.9,.544,2.2,2.4,.928,1.0,3.5,4.5,3.2,0.7,0.2,1.4,1.6,15.6
Dillon Brooks,SF,23,MEM,18,0,18.3,2.7,6.8,0.8,2.2,.375,1.9,4.6,.415,1.2,1.7,.733,0.5,1.2,1.7,0.9,0.6,0.2,1.1,2.8,7.5
MarShon Brooks,SG,30,MEM,29,0,13.3,2.6,5.8,0.5,1.9,.278,2.1,4.0,.530,0.8,1.1,.697,0.4,1.1,1.6,0.9,0.3,0.1,0.7,1.1,6.6
Bruce Brown,SG,22,DET,74,56,19.6,1.7,4.2,0.3,1.3,.258,1.4,3.0,.457,0.6,0.8,.750,0.6,1.9,2.5,1.2,0.5,0.5,0.6,2.4,4.3
Jaylen Brown,SG,22,BOS,74,25,25.9,5.0,10.7,1.3,3.7,.344,3.7,7.0,.529,1.8,2.7,.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13.0
Lorenzo Brown,PG,28,TOR,26,0,8.2,0.9,2.7,0.2,1.1,.214,0.7,1.7,.395,0.1,0.1,1.000,0.2,1.0,1.2,1.1,0.5,0.2,0.6,0.8,2.1
Sterling Brown,SG,23,MIL,58,7,17.8,2.5,5.4,0.9,2.5,.361,1.6,2.8,.558,0.5,0.7,.690,0.5,2.7,3.2,1.4,0.4,0.1,0.8,1.5,6.4
Troy Brown Jr.,SF,19,WAS,52,10,14.0,1.9,4.5,0.4,1.3,.319,1.4,3.2,.455,0.6,0.9,.681,0.7,2.1,2.8,1.5,0.4,0.1,0.6,1.1,4.8
Thomas Bryant,C,21,WAS,72,53,20.8,4.3,7.0,0.5,1.4,.333,3.8,5.6,.685,1.5,1.9,.781,1.6,4.7,6.3,1.3,0.3,0.9,0.8,1.8,10.5
Reggie Bullock,SG,27,TOT,63,60,29.8,3.9,9.4,2.3,6.2,.377,1.5,3.2,.483,1.2,1.3,.859,0.3,2.4,2.7,2.0,0.6,0.2,1.0,1.7,11.3
Reggie Bullock,SG,27,DET,44,44,30.8,4.1,10.0,2.6,6.7,.388,1.5,3.3,.463,1.3,1.5,.875,0.5,2.3,2.8,2.5,0.5,0.1,1.2,1.8,12.1
Reggie Bullock,SG,27,LAL,19,16,27.6,3.3,8.1,1.8,5.2,.343,1.5,2.8,.537,0.9,1.1,.810,0.1,2.5,2.6,1.1,0.8,0.4,0.6,1.6,9.3
Trey Burke,PG,26,TOT,58,8,19.4,4.1,9.4,1.0,2.7,.352,3.1,6.7,.463,1.8,2.1,.831,0.5,1.2,1.7,2.7,0.6,0.1,0.8,1.0,10.9
Trey Burke,PG,26,NYK,33,7,20.9,4.5,10.8,0.9,2.6,.349,3.6,8.2,.434,1.9,2.3,.827,0.5,1.4,1.9,2.8,0.6,0.2,0.9,1.0,11.8
Alec Burks,SG,27,TOT,64,24,21.5,3.0,7.4,1.0,2.6,.363,2.0,4.8,.428,1.8,2.2,.823,0.5,3.2,3.7,2.0,0.6,0.3,1.0,1.4,8.8
Alec Burks,SG,27,UTA,17,0,15.8,2.8,6.7,0.9,2.5,.372,1.8,4.2,.437,1.9,2.2,.868,0.1,1.5,1.6,1.2,0.4,0.2,0.9,1.3,8.4
Alec Burks,SG,27,CLE,34,24,28.8,4.0,10.0,1.3,3.5,.378,2.7,6.5,.412,2.3,2.9,.806,0.8,4.7,5.5,2.9,0.7,0.5,1.4,1.8,11.6
Alec Burks,SG,27,SAC,13,0,9.8,0.7,1.5,0.0,0.5,.000,0.7,1.1,.643,0.3,0.4,.800,0.2,1.5,1.7,0.8,0.6,0.1,0.3,0.5,1.7
Deonte Burton,SG,25,OKC,32,0,7.5,1.0,2.6,0.3,0.8,.296,0.8,1.7,.455,0.3,0.4,.667,0.1,0.8,0.9,0.3,0.2,0.3,0.3,1.0,2.6
Jimmy Butler,SG,29,MIN,10,10,36.1,7.4,15.7,1.7,4.5,.378,5.7,11.2,.509,4.8,6.1,.787,1.6,3.6,5.2,4.3,2.4,1.0,1.4,1.8,21.3
Jimmy Butler,SF,29,PHI,55,55,33.2,6.3,13.6,0.9,2.7,.338,5.3,10.9,.491,4.8,5.5,.868,1.9,3.4,5.3,4.0,1.8,0.5,1.5,1.7,18.2
José Calderón,PG,37,DET,49,0,12.9,0.9,2.4,0.3,1.2,.246,0.6,1.3,.492,0.2,0.2,.818,0.2,1.0,1.2,2.3,0.3,0.1,0.7,1.3,2.3
Kentavious Caldwell-Pope,SG,25,LAL,82,23,24.8,4.0,9.2,1.8,5.3,.347,2.1,3.9,.542,1.7,1.9,.867,0.6,2.3,2.9,1.3,0.9,0.2,0.8,1.7,11.4
Isaiah Canaan,PG,27,TOT,30,16,21.0,2.1,5.5,1.1,3.2,.354,1.0,2.3,.441,0.6,0.8,.792,0.2,1.7,1.9,2.8,0.5,0.1,1.2,1.7,6.0
Isaiah Canaan,PG,27,PHO,19,15,26.5,2.7,6.8,1.3,3.8,.347,1.4,3.0,.456,0.8,1.1,.750,0.3,2.3,2.6,3.3,0.6,0.0,1.5,2.4,7.5
Isaiah Canaan,PG,27,MIN,7,1,13.6,1.6,4.1,1.0,2.7,.368,0.6,1.4,.400,0.6,0.6,1.000,0.0,0.7,0.7,2.7,0.3,0.1,0.6,0.6,4.7
Isaiah Canaan,PG,27,MIL,4,0,7.8,0.5,1.5,0.5,1.3,.400,0.0,0.3,.000,0.0,0.0,0,0.3,0.8,1.0,0.8,0.0,0.3,0.5,0.5,1.5
Clint Capela,C,24,HOU,67,67,33.6,7.1,10.9,0.0,0.0,0,7.1,10.9,.648,2.5,3.9,.636,4.4,8.2,12.7,1.4,0.7,1.5,1.4,2.5,16.6
Jevon Carter,PG,23,MEM,39,3,14.8,1.4,4.7,0.9,2.6,.333,0.6,2.1,.265,0.7,0.8,.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4
Michael Carter-Williams,PG,27,TOT,28,1,13.3,1.6,4.4,0.4,1.4,.263,1.3,3.0,.424,1.1,1.9,.604,0.7,1.8,2.5,2.5,0.7,0.5,0.7,1.7,4.8
Michael Carter-Williams,PG,27,HOU,16,1,9.1,1.6,3.8,0.4,1.2,.368,1.1,2.6,.429,0.8,1.6,.462,0.2,0.6,0.8,1.3,0.6,0.4,0.6,1.7,4.3
Michael Carter-Williams,PG,27,ORL,12,0,18.9,1.8,5.2,0.3,1.6,.158,1.5,3.6,.419,1.7,2.3,.741,1.3,3.4,4.8,4.1,0.9,0.8,0.8,1.8,5.4
Alex Caruso,PG,24,LAL,25,4,21.2,3.1,6.9,1.0,2.0,.480,2.1,4.9,.431,2.0,2.6,.797,0.8,1.9,2.7,3.1,1.0,0.4,1.7,2.2,9.2
Omri Casspi,SF,30,MEM,36,0,14.4,2.4,4.5,0.4,1.2,.349,2.0,3.3,.602,1.1,1.6,.672,0.5,2.7,3.2,0.7,0.6,0.3,0.6,1.0,6.3
Willie Cauley-Stein,C,25,SAC,81,81,27.3,5.1,9.1,0.0,0.0,.500,5.1,9.1,.556,1.7,3.1,.551,2.2,6.1,8.4,2.4,1.2,0.6,1.0,2.8,11.9
Troy Caupain,PG,23,ORL,4,0,4.0,1.0,2.0,0.5,0.8,.667,0.5,1.3,.400,0.0,0.0,0,0.3,0.5,0.8,1.0,0.3,0.0,0.0,0.0,2.5
Tyson Chandler,C,36,TOT,55,6,15.9,1.1,1.8,0.0,0.0,.000,1.1,1.8,.622,0.9,1.6,.586,1.7,3.9,5.6,0.7,0.4,0.4,0.8,2.0,3.1
Tyson Chandler,C,36,PHO,7,0,12.7,1.1,1.7,0.0,0.0,0,1.1,1.7,.667,1.4,2.6,.556,1.0,4.6,5.6,0.9,0.3,0.1,1.0,3.0,3.7
Tyson Chandler,C,36,LAL,48,6,16.4,1.1,1.8,0.0,0.0,.000,1.1,1.8,.616,0.9,1.4,.594,1.8,3.8,5.6,0.6,0.4,0.5,0.7,1.9,3.1
Wilson Chandler,SF,31,LAC,15,1,15.1,1.5,4.4,0.9,2.7,.325,0.7,1.7,.385,0.3,0.5,.714,0.3,2.9,3.1,0.7,0.2,0.2,0.5,1.9,4.3
Joe Chealey,PG,23,CHO,1,0,8.0,1.0,3.0,0.0,0.0,0,1.0,3.0,.333,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
Chris Chiozza,PG,23,HOU,7,0,4.7,0.3,1.1,0.3,0.7,.400,0.0,0.4,.000,0.0,0.0,0,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9
Ian Clark,SG,27,NOP,60,6,16.2,2.5,6.4,1.1,3.4,.327,1.4,3.0,.470,0.6,0.6,.892,0.2,1.3,1.5,1.6,0.4,0.1,1.0,1.6,6.7
Jordan Clarkson,SG,26,CLE,81,0,27.3,6.5,14.6,1.8,5.5,.324,4.8,9.1,.524,2.0,2.4,.844,1.0,2.3,3.3,2.4,0.7,0.2,1.7,1.4,16.8
Zach Collins,C,21,POR,77,0,17.6,2.5,5.2,0.5,1.6,.331,1.9,3.6,.534,1.2,1.6,.746,1.4,2.8,4.2,0.9,0.3,0.9,1.0,2.3,6.6
Darren Collison,PG,31,IND,76,76,28.2,4.1,8.7,1.0,2.6,.407,3.0,6.1,.492,2.1,2.5,.832,0.5,2.6,3.1,6.0,1.4,0.1,1.6,1.8,11.2
Bonzie Colson,SF,23,MIL,8,2,12.3,1.6,4.9,0.6,2.6,.238,1.0,2.3,.444,1.0,1.1,.889,1.0,2.8,3.8,0.4,0.6,0.1,0.4,0.4,4.9
Mike Conley,PG,31,MEM,70,70,33.5,7.0,16.0,2.2,6.1,.364,4.8,9.9,.483,4.9,5.8,.845,0.6,2.8,3.4,6.4,1.3,0.3,1.9,1.8,21.1
Pat Connaughton,SG,26,MIL,61,2,20.7,2.7,5.7,1.1,3.3,.330,1.6,2.5,.647,0.5,0.7,.725,1.0,3.2,4.2,2.0,0.5,0.4,0.5,1.3,6.9
Quinn Cook,PG,25,GSW,74,10,14.3,2.8,5.9,1.1,2.7,.405,1.7,3.2,.515,0.3,0.4,.769,0.3,1.8,2.1,1.6,0.3,0.0,0.7,1.2,6.9
DeMarcus Cousins,C,28,GSW,30,30,25.7,5.9,12.4,0.9,3.2,.274,5.1,9.2,.551,3.5,4.8,.736,1.4,6.8,8.2,3.6,1.3,1.5,2.4,3.6,16.3
Robert Covington,SF,28,TOT,35,35,34.4,4.5,10.3,2.4,6.4,.378,2.0,3.9,.518,1.9,2.5,.764,0.8,4.7,5.5,1.3,2.1,1.3,1.3,3.6,13.3
Robert Covington,SF,28,PHI,13,13,33.8,3.8,9.0,2.3,5.9,.390,1.5,3.1,.500,1.3,1.8,.739,0.5,4.6,5.2,1.1,1.8,1.8,1.7,3.5,11.3
Robert Covington,SF,28,MIN,22,22,34.7,4.8,11.1,2.5,6.7,.372,2.3,4.4,.526,2.3,3.0,.773,1.0,4.8,5.7,1.5,2.3,1.1,1.1,3.7,14.5
Allen Crabbe,SG,26,BRK,43,20,26.3,3.2,8.7,2.3,6.0,.378,0.9,2.7,.342,1.0,1.3,.732,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,9.6
Torrey Craig,SF,28,DEN,75,37,20.0,2.1,4.8,0.8,2.5,.324,1.3,2.3,.569,0.7,0.9,.700,1.2,2.3,3.5,1.0,0.5,0.6,0.6,2.3,5.7
Jamal Crawford,SG,38,PHO,64,0,18.9,2.7,6.8,1.0,3.2,.332,1.7,3.7,.453,1.5,1.7,.845,0.1,1.2,1.3,3.6,0.5,0.2,1.5,1.2,7.9
Mitch Creek,SF,26,TOT,5,0,9.6,1.6,3.2,0.0,0.4,.000,1.6,2.8,.571,1.0,1.4,.714,1.2,1.2,2.4,1.2,0.4,0.0,0.2,0.6,4.2
Mitch Creek,SF,26,BRK,4,0,9.0,1.3,2.5,0.0,0.3,.000,1.3,2.3,.556,1.3,1.8,.714,1.3,1.3,2.5,1.3,0.3,0.0,0.0,0.8,3.8
Mitch Creek,SF,26,MIN,1,0,12.0,3.0,6.0,0.0,1.0,.000,3.0,5.0,.600,0.0,0.0,0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0
Jae Crowder,SF,28,UTA,80,11,27.1,4.0,10.0,2.2,6.5,.331,1.8,3.4,.527,1.8,2.5,.721,0.8,4.1,4.8,1.7,0.8,0.4,1.1,2.1,11.9
Seth Curry,SG,28,POR,74,2,18.9,2.9,6.3,1.5,3.4,.450,1.3,2.9,.463,0.6,0.7,.846,0.4,1.3,1.6,0.9,0.5,0.2,0.8,1.3,7.9
Stephen Curry,PG,30,GSW,69,69,33.8,9.2,19.4,5.1,11.7,.437,4.0,7.7,.525,3.8,4.2,.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3
Troy Daniels,SG,27,PHO,51,1,14.9,2.2,5.4,1.5,3.8,.381,0.8,1.6,.481,0.4,0.5,.783,0.3,1.2,1.4,0.5,0.5,0.1,0.5,1.5,6.2
Anthony Davis,C,25,NOP,56,56,33.0,9.5,18.3,0.9,2.6,.331,8.6,15.7,.547,6.1,7.7,.794,3.1,8.9,12.0,3.9,1.6,2.4,2.0,2.4,25.9
Deyonta Davis,C,22,ATL,9,0,13.1,1.7,2.4,0.0,0.1,.000,1.7,2.3,.714,0.7,1.1,.600,1.1,2.9,4.0,0.6,0.3,0.6,0.3,1.3,4.0
Ed Davis,C,29,BRK,81,1,17.9,2.3,3.7,0.0,0.0,.000,2.3,3.7,.620,1.2,2.0,.617,2.7,5.9,8.6,0.8,0.4,0.4,0.8,2.8,5.8
Tyler Davis,C,21,OKC,1,0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,.000,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dewayne Dedmon,C,29,ATL,64,52,25.1,4.0,8.2,1.3,3.4,.382,2.8,4.8,.570,1.4,1.8,.814,1.6,5.9,7.5,1.4,1.1,1.1,1.3,3.3,10.8
