Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
John Jenkins,SG,27,WAS,4,0,3.5,0.5,0.5,0.5,0.5,1.000,0.0,0.0,0,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.5
John Jenkins,SG,27,NYK,22,0,14.5,1.8,4.7,0.9,2.5,.357,0.9,2.1,.426,0.7,0.8,.833,0.3,1.4,1.6,1.0,0.0,0.1,0.4,0.5,5.2
Amir Johnson,C,31,PHI,51,6,10.4,1.5,3.1,0.2,0.8,.300,1.3,2.3,.573,0.6,0.8,.756,0.9,2.0,2.9,1.2,0.3,0.3,0.9,1.9,3.9
B.J. Johnson,SF,23,TOT,7,0,7.0,1.3,2.6,0.4,1.0,.429,0.9,1.6,.545,0.3,0.3,1.000,0.3,0.9,1.1,0.0,0.3,0.0,0.3,0.6,3.3
B.J. Johnson,SF,23,ATL,6,0,7.2,1.3,2.7,0.5,1.0,.500,0.8,1.7,.500,0.3,0.3,1.000,0.3,1.0,1.3,0.0,0.3,0.0,0.3,0.5,3.5
B.J. Johnson,SF,23,SAC,1,0,6.0,1.0,2.0,0.0,1.0,.000,1.0,1.0,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Stanley Johnson,SF,22,TOT,66,7,18.3,2.6,6.7,0.9,3.3,.288,1.7,3.4,.484,0.8,1.0,.781,0.5,2.8,3.3,1.3,0.9,0.2,1.2,1.7,6.9
Stanley Johnson,SF,22,DET,48,7,20.0,2.8,7.3,1.1,3.8,.282,1.7,3.5,.488,0.9,1.1,.804,0.5,3.1,3.6,1.3,1.0,0.3,1.1,1.9,7.5
Stanley Johnson,SF,22,NOP,18,0,13.7,2.1,5.1,0.6,1.9,.324,1.5,3.2,.474,0.5,0.7,.692,0.5,1.8,2.3,1.6,0.7,0.1,1.4,1.2,5.3
Tyler Johnson,PG,26,TOT,57,22,26.8,3.8,9.2,1.6,4.6,.346,2.2,4.7,.477,1.7,2.2,.748,0.6,2.4,3.0,2.9,0.9,0.5,1.4,1.7,10.9
Tyler Johnson,PG,26,MIA,44,10,25.5,3.9,9.1,1.6,4.6,.353,2.3,4.5,.503,1.4,2.0,.693,0.4,2.3,2.8,2.5,0.9,0.5,1.4,1.6,10.8
Tyler Johnson,PG,26,PHO,13,12,31.2,3.5,9.6,1.4,4.3,.321,2.2,5.3,.406,2.6,3.0,.872,1.2,2.8,4.0,4.2,1.1,0.5,1.1,1.9,11.1
Wesley Johnson,SF,31,TOT,38,13,14.1,1.2,3.4,0.7,2.0,.329,0.5,1.4,.385,0.3,0.5,.684,0.3,1.6,1.9,0.6,0.4,0.3,0.5,1.7,3.4
Wesley Johnson,SF,31,NOP,26,13,14.5,1.3,3.4,0.7,1.9,.380,0.6,1.5,.421,0.2,0.3,.667,0.4,1.7,2.1,0.6,0.5,0.3,0.5,1.7,3.7
Wesley Johnson,SF,31,WAS,12,0,13.1,0.8,3.3,0.5,2.2,.231,0.3,1.2,.286,0.6,0.8,.700,0.2,1.3,1.5,0.6,0.2,0.4,0.5,1.5,2.8
Nikola Jokić,C,23,DEN,80,80,31.3,7.7,15.1,1.0,3.4,.307,6.7,11.7,.569,3.6,4.4,.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1
Damian Jones,C,23,GSW,24,22,17.1,2.2,3.1,0.0,0.0,0,2.2,3.1,.716,1.0,1.5,.649,1.3,1.8,3.1,1.2,0.5,1.0,0.7,2.6,5.4
Derrick Jones Jr.,SF,21,MIA,60,14,19.2,2.7,5.4,0.5,1.5,.308,2.2,3.9,.567,1.2,2.0,.607,1.6,2.4,4.0,0.6,0.8,0.7,0.7,2.1,7.0
Jalen Jones,SF,25,CLE,16,0,13.4,1.6,3.9,0.6,1.8,.357,1.0,2.1,.471,1.2,1.7,.704,0.7,1.4,2.1,0.4,0.6,0.1,0.5,1.7,5.1
Jemerrio Jones,SF,23,LAL,6,2,23.8,2.0,5.5,0.3,1.7,.200,1.7,3.8,.435,0.2,0.3,.500,2.7,5.5,8.2,2.2,1.2,0.8,0.8,1.7,4.5
Tyus Jones,PG,22,MIN,68,23,22.9,2.7,6.6,0.6,1.9,.317,2.1,4.7,.453,0.9,1.0,.841,0.3,1.6,2.0,4.8,1.2,0.1,0.7,1.1,6.9
DeAndre Jordan,C,30,TOT,69,69,29.7,4.1,6.5,0.0,0.0,0,4.1,6.5,.641,2.7,3.8,.705,3.3,9.8,13.1,2.3,0.6,1.1,2.2,2.4,11.0
DeAndre Jordan,C,30,NYK,19,19,25.9,4.1,6.5,0.0,0.0,0,4.1,6.5,.634,2.7,3.5,.773,3.4,8.0,11.4,3.0,0.5,1.1,2.2,2.2,10.9
Cory Joseph,PG,27,IND,82,9,25.2,2.8,6.7,0.7,2.1,.322,2.1,4.6,.454,0.4,0.5,.698,0.5,2.9,3.4,3.9,1.1,0.3,1.0,1.6,6.5
Frank Kaminsky,C,25,CHO,47,0,16.1,2.9,6.3,1.1,3.0,.360,1.9,3.4,.553,1.7,2.3,.738,0.8,2.6,3.5,1.3,0.3,0.3,0.9,1.4,8.6
Luke Kennard,SG,22,DET,63,10,22.8,3.6,8.3,1.7,4.3,.394,1.9,4.0,.486,0.8,1.0,.836,0.2,2.7,2.9,1.8,0.4,0.2,0.9,1.5,9.7
George King,SF,25,PHO,1,0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Knight,PG,27,TOT,39,26,18.9,2.5,6.7,1.1,3.3,.318,1.5,3.4,.443,0.7,0.9,.794,0.3,1.3,1.5,1.8,0.5,0.1,0.8,1.6,6.8
Brandon Knight,PG,27,HOU,12,0,9.8,0.9,3.9,0.4,2.7,.156,0.5,1.3,.400,0.8,0.9,.818,0.1,0.7,0.8,0.8,0.2,0.0,0.4,1.2,3.0
Brandon Knight,PG,27,CLE,27,26,22.9,3.3,7.9,1.3,3.6,.371,1.9,4.3,.448,0.7,0.9,.783,0.3,1.5,1.9,2.3,0.7,0.1,0.9,1.8,8.5
Furkan Korkmaz,SG,21,PHI,48,7,14.1,2.0,5.1,1.0,3.0,.326,1.1,2.1,.505,0.8,0.9,.818,0.3,1.9,2.2,1.1,0.6,0.0,0.5,1.3,5.8
Kyle Korver,SG,37,UTA,54,0,20.1,3.1,7.5,2.1,5.4,.384,1.0,2.1,.469,0.9,1.1,.825,0.2,2.3,2.5,1.2,0.4,0.2,0.8,1.6,9.1
Kosta Koufos,C,29,SAC,42,1,12.0,1.7,3.6,0.0,0.0,0,1.7,3.6,.477,0.2,0.6,.417,1.2,3.0,4.2,0.9,0.4,0.4,0.6,1.6,3.7
Rodions Kurucs,SF,20,BRK,63,46,20.5,3.2,7.1,0.9,2.9,.315,2.3,4.2,.543,1.1,1.5,.783,0.9,3.0,3.9,0.8,0.7,0.4,1.2,2.3,8.5
Jeremy Lamb,SG,26,CHO,79,55,28.5,5.5,12.4,1.5,4.2,.348,4.0,8.2,.487,2.9,3.3,.888,0.8,4.7,5.5,2.2,1.1,0.4,1.0,1.8,15.3
Jake Layman,SF,24,POR,71,33,18.7,3.0,6.0,0.8,2.5,.326,2.2,3.4,.646,0.7,1.0,.704,0.8,2.3,3.1,0.7,0.4,0.4,0.6,1.6,7.6
Courtney Lee,SG,33,TOT,34,6,12.6,1.6,3.8,0.5,1.6,.291,1.1,2.2,.500,0.4,0.6,.667,0.3,1.3,1.6,1.1,0.6,0.1,0.4,0.9,4.0
Courtney Lee,SG,33,NYK,12,2,13.3,1.8,3.9,0.4,1.3,.313,1.3,2.6,.516,0.8,1.2,.643,0.5,1.8,2.3,1.3,0.7,0.2,0.4,1.1,4.7
Damion Lee,SG,26,GSW,32,0,11.7,1.8,4.0,0.8,2.1,.397,0.9,1.8,.492,0.6,0.7,.864,0.3,1.8,2.0,0.4,0.4,0.0,0.3,0.9,4.9
Alex Len,C,25,ATL,77,31,20.1,4.2,8.4,1.0,2.6,.363,3.2,5.8,.554,1.8,2.8,.648,2.1,3.5,5.5,1.1,0.4,0.9,1.3,2.6,11.1
Kawhi Leonard,SF,27,TOR,60,60,34.0,9.3,18.8,1.9,5.0,.371,7.5,13.8,.542,6.1,7.1,.854,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6
Meyers Leonard,C,26,POR,61,2,14.4,2.2,4.0,0.8,1.8,.450,1.3,2.1,.626,0.7,0.8,.843,0.8,3.0,3.8,1.2,0.2,0.1,0.7,1.7,5.9
Caris LeVert,SF,24,BRK,40,25,26.6,5.2,12.1,1.2,3.9,.312,4.0,8.2,.483,2.1,3.1,.691,0.9,2.9,3.8,3.9,1.1,0.4,1.7,1.9,13.7
Damian Lillard,PG,28,POR,80,80,35.5,8.5,19.2,3.0,8.0,.369,5.6,11.1,.499,5.9,6.4,.912,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8
Jeremy Lin,PG,30,TOT,74,4,19.4,3.2,7.3,0.7,2.5,.294,2.5,4.8,.517,2.4,2.8,.838,0.3,2.1,2.4,3.1,0.6,0.2,1.7,1.9,9.6
Jeremy Lin,PG,30,ATL,51,1,19.7,3.5,7.6,0.9,2.6,.333,2.7,5.0,.535,2.8,3.3,.845,0.3,2.0,2.3,3.5,0.7,0.1,1.9,1.9,10.7
Jeremy Lin,PG,30,TOR,23,3,18.8,2.5,6.7,0.5,2.4,.200,2.0,4.3,.470,1.5,1.8,.810,0.3,2.3,2.6,2.2,0.4,0.3,1.1,2.1,7.0
Shaun Livingston,PG,33,GSW,64,0,15.1,1.7,3.3,0.0,0.0,.000,1.7,3.3,.524,0.6,0.8,.784,0.7,1.2,1.8,1.8,0.5,0.4,0.6,1.2,4.0
Zach Lofton,SG,26,DET,1,0,4.0,0.0,1.0,0.0,1.0,.000,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Kevon Looney,C,22,GSW,80,24,18.5,2.7,4.3,0.0,0.1,.100,2.7,4.2,.641,0.8,1.3,.619,2.4,2.8,5.2,1.5,0.6,0.7,0.6,2.6,6.3
Brook Lopez,C,30,MIL,81,81,28.7,4.4,9.7,2.3,6.3,.365,2.1,3.4,.613,1.4,1.6,.842,0.4,4.5,4.9,1.2,0.6,2.2,1.0,2.3,12.5
Kyle Lowry,PG,32,TOR,65,65,34.0,4.7,11.4,2.4,7.0,.347,2.3,4.4,.514,2.5,3.0,.830,0.6,4.2,4.8,8.7,1.4,0.5,2.8,2.6,14.2
Jordan Loyd,PG,25,TOR,12,0,4.6,0.7,1.5,0.3,0.7,.500,0.3,0.8,.400,0.8,0.9,.818,0.1,0.7,0.8,0.5,0.0,0.0,0.2,0.4,2.4
Kalin Lucas,PG,29,DET,1,0,6.0,0.0,1.0,0.0,1.0,.000,0.0,0.0,0,2.0,2.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0
Timothé Luwawu-Cabarrot,SF,23,TOT,50,7,13.4,1.6,4.4,0.7,2.3,.310,0.9,2.0,.451,0.6,0.8,.756,0.2,1.7,1.9,0.5,0.4,0.2,0.4,1.5,4.6
Timothé Luwawu-Cabarrot,SF,23,OKC,21,1,5.9,0.6,2.0,0.2,1.0,.227,0.4,1.0,.381,0.2,0.3,.667,0.2,0.7,0.9,0.2,0.2,0.0,0.2,0.7,1.7
Scott Machado,PG,28,LAL,4,0,4.8,1.0,1.5,0.3,0.3,1.000,0.8,1.3,.600,0.3,0.3,1.000,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.5,2.5
Shelvin Mack,PG,28,TOT,57,3,21.9,2.9,7.1,0.8,2.3,.354,2.1,4.8,.429,1.0,1.5,.690,0.3,1.5,1.8,3.2,0.8,0.1,1.2,1.5,7.5
Shelvin Mack,PG,28,MEM,53,3,22.7,3.0,7.3,0.9,2.4,.359,2.2,4.9,.441,1.0,1.4,.707,0.3,1.6,1.9,3.4,0.8,0.1,1.2,1.5,7.9
Shelvin Mack,PG,28,CHO,4,0,10.5,0.5,3.5,0.0,0.5,.000,0.5,3.0,.167,1.3,2.3,.556,0.0,0.5,0.5,0.3,0.5,0.0,1.0,0.8,2.3
J.P. Macura,SG,23,CHO,2,0,8.5,1.5,4.5,0.0,2.0,.000,1.5,2.5,.600,0.0,0.0,0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,3.0
Ian Mahinmi,C,32,WAS,34,6,14.6,1.4,3.1,0.1,0.5,.188,1.3,2.6,.500,1.2,1.8,.689,1.4,2.4,3.8,0.7,0.7,0.5,0.6,2.5,4.1
Thon Maker,C,21,MIL,35,0,11.7,1.7,3.8,0.7,2.2,.333,0.9,1.6,.589,0.6,1.1,.541,0.5,2.3,2.7,0.5,0.3,0.5,0.3,1.6,4.7
Boban Marjanović,C,30,TOT,58,12,11.7,2.8,4.5,0.1,0.2,.400,2.7,4.3,.624,1.7,2.3,.748,1.5,3.1,4.6,0.9,0.3,0.5,1.0,1.6,7.3
Boban Marjanović,C,30,LAC,36,9,10.4,2.4,3.9,0.0,0.1,.000,2.4,3.8,.616,2.0,2.6,.758,1.5,2.7,4.2,0.6,0.3,0.5,1.0,1.6,6.7
Boban Marjanović,C,30,PHI,22,3,13.9,3.4,5.5,0.2,0.4,.500,3.2,5.1,.634,1.2,1.6,.722,1.5,3.7,5.1,1.5,0.2,0.5,1.0,1.5,8.2
Frank Mason III,PG,24,SAC,38,0,11.4,1.9,4.4,0.4,1.7,.219,1.5,2.8,.543,1.0,1.5,.684,0.2,1.0,1.1,2.2,0.4,0.1,0.9,0.9,5.1
Wesley Matthews,SG,32,NYK,2,1,27.0,2.0,9.5,1.0,5.0,.200,1.0,4.5,.222,2.0,2.5,.800,0.5,1.0,1.5,2.5,0.5,0.5,1.0,1.0,7.0
Wesley Matthews,SG,32,IND,23,23,31.5,3.5,9.1,2.1,5.7,.369,1.4,3.5,.413,1.8,2.1,.854,0.5,2.3,2.8,2.4,0.9,0.2,1.3,2.4,10.9
Tahjere McCall,SG,24,BRK,1,0,8.0,2.0,3.0,0.0,1.0,.000,2.0,2.0,1.000,0.0,1.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
Patrick McCaw,SG,23,TOT,29,1,13.7,0.9,2.2,0.3,1.0,.321,0.6,1.2,.486,0.4,0.5,.867,0.2,1.4,1.7,1.0,0.8,0.1,0.6,1.3,2.6
Patrick McCaw,SG,23,CLE,3,0,17.7,0.7,3.0,0.3,1.3,.250,0.3,1.7,.200,0.0,0.0,0,0.0,1.0,1.0,0.7,0.7,0.0,1.0,0.3,1.7
Patrick McCaw,SG,23,TOR,26,1,13.2,0.9,2.1,0.3,0.9,.333,0.6,1.2,.533,0.5,0.6,.867,0.3,1.5,1.7,1.0,0.8,0.1,0.5,1.4,2.7
CJ McCollum,SG,27,POR,70,70,33.9,8.2,17.8,2.4,6.4,.375,5.8,11.4,.506,2.3,2.7,.828,0.9,3.1,4.0,3.0,0.8,0.4,1.5,2.5,21.0
T.J. McConnell,PG,26,PHI,76,3,19.3,2.9,5.5,0.2,0.6,.333,2.7,5.0,.546,0.4,0.5,.784,0.4,1.9,2.3,3.4,1.0,0.2,1.2,1.4,6.4
Doug McDermott,SF,27,IND,77,1,17.4,2.7,5.5,1.1,2.7,.408,1.6,2.8,.569,0.9,1.0,.835,0.2,1.2,1.4,0.9,0.2,0.1,0.5,1.4,7.3
JaVale McGee,C,31,LAL,75,62,22.3,5.3,8.5,0.0,0.2,.083,5.3,8.4,.634,1.3,2.0,.632,2.6,4.9,7.5,0.7,0.6,2.0,1.4,2.8,12.0
Rodney McGruder,SG,27,MIA,66,45,23.5,2.8,7.0,1.2,3.4,.351,1.6,3.6,.453,0.8,1.1,.722,0.9,2.7,3.6,1.7,0.5,0.2,1.0,1.7,7.6
Alfonzo McKinnie,SF,26,GSW,72,5,13.9,1.9,3.8,0.6,1.6,.356,1.3,2.2,.586,0.4,0.7,.563,1.1,2.3,3.4,0.4,0.3,0.2,0.4,1.9,4.7
Ben McLemore,SG,25,SAC,19,0,8.3,1.3,3.4,0.9,2.2,.415,0.4,1.2,.348,0.4,0.6,.667,0.2,0.7,0.9,0.2,0.3,0.2,0.3,1.2,3.9
Jordan McRae,SG,27,WAS,27,0,12.3,2.3,4.8,0.4,1.3,.286,1.9,3.5,.537,1.0,1.3,.800,0.2,1.3,1.5,1.1,0.5,0.3,0.6,1.0,5.9
Jodie Meeks,SG,31,TOR,8,0,13.0,2.6,4.9,1.0,2.3,.444,1.6,2.6,.619,0.1,0.1,1.000,0.1,1.4,1.5,1.0,0.1,0.1,0.3,0.6,6.4
De'Anthony Melton,PG,20,PHO,50,31,19.7,2.0,5.1,0.6,1.9,.305,1.4,3.2,.441,0.4,0.6,.750,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
Khris Middleton,SF,27,MIL,77,77,31.1,6.6,14.9,2.3,6.2,.378,4.2,8.8,.485,2.8,3.4,.837,0.6,5.3,6.0,4.3,1.0,0.1,2.3,2.2,18.3
C.J. Miles,SF,31,TOT,53,1,16.2,2.1,5.9,1.3,3.8,.330,0.8,2.0,.417,0.9,1.1,.828,0.2,1.5,1.8,0.7,0.5,0.3,0.6,1.5,6.4
C.J. Miles,SF,31,TOR,40,1,14.1,1.8,5.2,1.1,3.4,.314,0.7,1.7,.391,0.9,1.1,.795,0.3,1.4,1.7,0.6,0.5,0.3,0.5,1.6,5.5
C.J. Miles,SF,31,MEM,13,0,22.6,3.2,8.1,1.8,5.1,.364,1.4,3.0,.462,1.0,1.1,.929,0.1,2.0,2.1,1.1,0.6,0.4,0.7,1.3,9.3
Darius Miller,SF,28,NOP,69,15,25.5,2.7,7.0,1.9,5.3,.365,0.8,1.7,.467,0.8,1.0,.789,0.2,1.7,1.9,2.1,0.6,0.3,0.9,2.4,8.2
Malcolm Miller,SF,25,TOR,10,0,6.7,1.1,2.6,1.0,2.1,.476,0.1,0.5,.200,0.3,0.4,.750,0.1,0.4,0.5,0.1,0.1,0.1,0.1,0.5,3.5
Patty Mills,PG,30,SAS,82,1,23.3,3.4,8.1,1.9,4.9,.394,1.5,3.2,.475,1.1,1.3,.854,0.3,1.9,2.2,3.0,0.6,0.1,1.1,1.6,9.9
Shake Milton,SG,22,PHI,20,0,13.4,1.7,4.4,0.7,2.2,.318,1.0,2.2,.465,0.3,0.4,.714,0.5,1.3,1.8,0.9,0.4,0.4,0.3,1.5,4.4
Donovan Mitchell,SG,22,UTA,77,77,33.7,8.6,19.9,2.4,6.7,.362,6.1,13.1,.468,4.1,5.1,.806,0.8,3.3,4.1,4.2,1.4,0.4,2.8,2.7,23.8
Naz Mitrou-Long,SG,25,UTA,14,0,6.0,0.4,1.4,0.1,0.8,.182,0.3,0.6,.444,0.1,0.1,1.000,0.1,0.4,0.4,1.1,0.1,0.1,0.6,0.7,1.1
Malik Monk,SG,20,CHO,73,0,17.2,3.1,8.0,1.5,4.5,.330,1.6,3.5,.461,1.2,1.4,.882,0.2,1.7,1.9,1.6,0.5,0.3,1.2,1.5,8.9
Greg Monroe,C,28,TOT,43,2,11.2,2.1,4.4,0.0,0.1,.200,2.1,4.3,.495,1.0,1.7,.625,1.6,2.4,4.0,0.6,0.3,0.2,0.7,1.5,5.3
Greg Monroe,C,28,TOR,38,2,11.1,1.9,4.2,0.0,0.1,.000,1.9,4.1,.471,0.9,1.6,.574,1.6,2.5,4.1,0.4,0.3,0.2,0.8,1.6,4.8
Greg Monroe,C,28,BOS,2,0,2.5,1.5,2.5,0.0,0.0,0,1.5,2.5,.600,0.0,0.0,0,1.5,0.0,1.5,0.5,0.0,0.0,0.0,0.0,3.0
Greg Monroe,C,28,PHI,3,0,17.3,5.0,7.7,0.3,0.3,1.000,4.7,7.3,.636,3.3,3.7,.909,1.3,3.0,4.3,2.3,0.3,0.0,0.3,1.7,13.7
E'Twaun Moore,SG,29,NOP,53,36,27.6,4.8,10.0,1.4,3.3,.432,3.4,6.7,.506,0.8,1.1,.763,0.7,1.7,2.4,1.9,0.8,0.2,1.1,2.1,11.9
Jaylen Morris,SG,23,MIL,4,0,7.3,1.0,2.5,0.3,0.8,.333,0.8,1.8,.429,0.3,0.5,.500,0.0,1.3,1.3,1.0,0.5,0.0,0.3,0.3,2.5
Monte Morris,PG,23,DEN,82,6,24.0,4.2,8.6,1.1,2.8,.414,3.1,5.8,.531,0.8,1.0,.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4
Emmanuel Mudiay,PG,22,NYK,59,42,27.2,5.6,12.5,1.2,3.6,.329,4.4,9.0,.492,2.4,3.2,.774,0.6,2.8,3.3,3.9,0.7,0.3,2.4,1.7,14.8
Jamal Murray,PG,21,DEN,75,74,32.6,6.8,15.6,2.0,5.5,.367,4.8,10.1,.476,2.5,3.0,.848,0.9,3.4,4.2,4.8,0.9,0.4,2.1,2.0,18.2
Džanan Musa,SG,19,BRK,9,0,4.3,1.0,2.4,0.1,1.1,.100,0.9,1.3,.667,0.0,0.2,.000,0.1,0.4,0.6,0.2,0.2,0.0,0.4,0.1,2.1
Svi Mykhailiuk,SF,21,TOT,42,0,10.5,1.1,3.3,0.7,2.1,.326,0.4,1.2,.333,0.3,0.5,.600,0.2,0.6,0.9,0.9,0.3,0.0,0.5,0.6,3.2
Svi Mykhailiuk,SF,21,LAL,39,0,10.8,1.1,3.4,0.7,2.2,.318,0.4,1.2,.362,0.3,0.5,.600,0.2,0.7,0.9,0.8,0.3,0.0,0.5,0.6,3.3
Svi Mykhailiuk,SF,21,DET,3,0,6.7,0.7,2.7,0.7,1.3,.500,0.0,1.3,.000,0.0,0.0,0,0.3,0.3,0.7,1.3,0.3,0.0,0.3,0.0,2.0
Abdel Nader,SF,25,OKC,61,1,11.4,1.5,3.5,0.5,1.6,.320,1.0,1.9,.513,0.4,0.6,.750,0.2,1.7,1.9,0.3,0.3,0.2,0.4,1.1,4.0
Larry Nance Jr.,C,26,CLE,67,30,26.8,3.7,7.1,0.5,1.5,.337,3.2,5.7,.567,1.4,2.0,.716,2.5,5.7,8.2,3.2,1.5,0.6,1.4,2.9,9.4
Shabazz Napier,PG,27,BRK,56,2,17.6,3.0,7.8,1.4,4.1,.333,1.7,3.7,.449,2.1,2.5,.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4
Raul Neto,PG,26,UTA,37,1,12.8,2.0,4.4,0.5,1.6,.333,1.5,2.7,.535,0.8,0.9,.848,0.2,1.5,1.7,2.5,0.4,0.1,0.9,1.3,5.3
Joakim Noah,C,33,MEM,42,1,16.5,2.6,5.1,0.0,0.0,.000,2.6,5.0,.519,1.9,2.6,.716,1.4,4.3,5.7,2.1,0.5,0.7,1.2,2.3,7.1
Nerlens Noel,C,24,OKC,77,2,13.7,2.1,3.6,0.0,0.0,0,2.1,3.6,.587,0.7,1.0,.684,1.6,2.6,4.2,0.6,0.9,1.2,0.6,2.2,4.9
Frank Ntilikina,PG,20,NYK,43,16,21.0,2.2,6.6,0.8,2.7,.287,1.4,3.9,.371,0.5,0.7,.767,0.3,1.7,2.0,2.8,0.7,0.3,1.3,2.4,5.7
James Nunnally,SF,28,TOT,15,0,6.8,0.8,2.3,0.5,1.7,.320,0.3,0.6,.444,0.3,0.3,1.000,0.0,0.3,0.3,0.5,0.1,0.0,0.1,0.7,2.4
James Nunnally,SF,28,MIN,13,0,4.9,0.7,1.6,0.4,1.0,.385,0.3,0.6,.500,0.3,0.3,1.000,0.0,0.3,0.3,0.4,0.1,0.0,0.1,0.3,2.1
James Nunnally,SF,28,HOU,2,0,19.0,1.5,6.5,1.5,6.0,.250,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,3.0,4.5
Jusuf Nurkić,C,24,POR,72,72,27.4,5.8,11.5,0.0,0.4,.103,5.8,11.1,.523,3.9,5.1,.773,3.4,7.0,10.4,3.2,1.0,1.4,2.3,3.5,15.6
David Nwaba,SF,26,CLE,51,14,19.3,2.5,5.1,0.5,1.5,.320,2.0,3.7,.545,1.1,1.7,.682,0.8,2.4,3.2,1.1,0.7,0.3,0.6,2.1,6.5
Royce O'Neale,SF,25,UTA,82,16,20.4,2.0,4.2,0.8,2.1,.386,1.2,2.0,.569,0.4,0.5,.762,0.3,3.2,3.5,1.5,0.7,0.3,0.9,2.1,5.2
Kyle O'Quinn,C,28,IND,45,3,8.2,1.5,3.0,0.0,0.3,.083,1.5,2.8,.548,0.4,0.5,.810,0.6,2.0,2.6,1.2,0.2,0.6,0.7,1.5,3.5
Jahlil Okafor,C,23,NOP,59,24,15.8,3.6,6.1,0.0,0.1,.200,3.6,6.1,.591,1.0,1.5,.663,1.4,3.3,4.7,0.7,0.3,0.7,0.9,1.6,8.2
Elie Okobo,PG,21,PHO,53,16,18.1,2.2,5.5,0.7,2.5,.295,1.4,3.0,.475,0.7,0.9,.787,0.2,1.6,1.8,2.4,0.6,0.1,1.3,2.1,5.7
Josh Okogie,SG,20,MIN,74,52,23.7,2.6,6.9,0.8,2.9,.279,1.8,4.0,.464,1.6,2.2,.728,0.6,2.4,2.9,1.2,1.2,0.4,0.9,2.2,7.7
Victor Oladipo,SG,26,IND,36,36,31.9,6.9,16.3,2.1,6.0,.343,4.9,10.3,.470,2.9,3.9,.730,0.6,5.0,5.6,5.2,1.7,0.3,2.3,2.0,18.8
Cedi Osman,SF,23,CLE,76,75,32.2,4.7,11.1,1.7,4.9,.348,3.0,6.2,.489,1.9,2.4,.779,0.6,4.1,4.7,2.6,0.8,0.1,1.5,2.6,13.0
Kelly Oubre Jr.,SF,23,TOT,69,19,28.0,5.4,12.2,1.6,4.9,.320,3.9,7.3,.530,2.7,3.5,.775,1.0,3.7,4.7,1.2,1.2,0.9,1.5,2.6,15.2
Kelly Oubre Jr.,SF,23,WAS,29,7,26.0,4.6,10.5,1.4,4.6,.311,3.1,6.0,.526,2.3,2.9,.800,0.8,3.6,4.4,0.7,0.9,0.7,1.0,2.4,12.9
Kelly Oubre Jr.,SF,23,PHO,40,12,29.5,6.1,13.4,1.7,5.2,.325,4.4,8.3,.532,3.0,4.0,.761,1.2,3.7,4.9,1.6,1.4,1.0,1.8,2.8,16.9
Zaza Pachulia,C,34,DET,68,3,12.9,1.3,2.8,0.0,0.1,.000,1.3,2.8,.450,1.4,1.8,.782,1.5,2.4,3.9,1.3,0.5,0.3,0.8,2.2,3.9
