Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Parker,PG,36,CHO,56,0,17.9,3.8,8.3,0.2,0.9,.255,3.6,7.4,.485,1.6,2.2,.734,0.3,1.2,1.5,3.7,0.4,0.1,1.3,0.9,9.5
Chandler Parsons,SF,30,MEM,25,3,19.8,2.7,7.3,1.2,3.8,.309,1.6,3.5,.443,0.9,1.0,.880,0.2,2.6,2.8,1.7,0.8,0.2,1.3,1.8,7.5
Justin Patton,C,21,PHI,3,0,7.0,0.7,2.3,0.0,0.7,.000,0.7,1.7,.400,0.3,0.7,.500,0.7,1.3,2.0,1.0,0.7,0.0,0.0,1.7,1.7
Chris Paul,PG,33,HOU,58,58,32.0,5.2,12.4,2.2,6.1,.358,3.0,6.3,.479,3.0,3.5,.862,0.6,3.9,4.6,8.2,2.0,0.3,2.6,2.5,15.6
Cameron Payne,PG,24,TOT,40,13,17.8,2.4,5.6,0.6,2.1,.298,1.8,3.5,.511,0.8,1.0,.805,0.3,1.5,1.8,2.7,0.7,0.2,1.1,1.6,6.3
Cameron Payne,PG,24,CLE,9,1,19.6,3.0,6.1,1.0,2.8,.360,2.0,3.3,.600,1.2,1.8,.688,0.3,1.8,2.1,2.6,0.9,0.3,1.2,1.7,8.2
Elfrid Payton,PG,24,NOP,42,42,29.8,4.3,9.8,0.8,2.5,.314,3.5,7.3,.476,1.3,1.8,.743,1.2,4.1,5.2,7.6,1.0,0.4,2.7,1.9,10.6
Gary Payton II,PG,26,WAS,3,0,5.3,1.7,2.7,0.3,0.7,.500,1.3,2.0,.667,0.0,0.0,0,0.3,0.3,0.7,1.3,1.0,0.3,0.3,0.7,3.7
Theo Pinson,SG,23,BRK,18,0,11.7,1.4,4.1,0.7,2.6,.261,0.7,1.5,.481,1.1,1.2,.864,0.2,1.8,2.0,1.2,0.3,0.0,1.0,0.8,4.5
Mason Plumlee,C,28,DEN,82,17,21.1,3.2,5.4,0.0,0.1,.200,3.2,5.3,.602,1.4,2.4,.561,2.0,4.4,6.4,3.0,0.8,0.9,1.5,3.1,7.8
Miles Plumlee,C,30,ATL,18,0,9.6,1.8,2.7,0.0,0.0,0,1.8,2.7,.667,0.9,1.7,.533,0.9,1.3,2.2,0.9,0.3,0.2,0.6,0.8,4.4
Jakob Poeltl,C,23,SAS,77,24,16.5,2.4,3.8,0.0,0.0,0,2.4,3.8,.645,0.6,1.2,.533,2.3,3.0,5.3,1.2,0.4,0.9,0.6,1.6,5.5
Quincy Pondexter,SF,30,SAS,53,0,5.5,0.5,1.1,0.1,0.3,.333,0.4,0.8,.575,0.6,0.8,.810,0.2,0.7,0.9,0.5,0.2,0.0,0.2,0.5,1.8
Otto Porter Jr.,SF,25,TOT,56,43,30.1,5.3,11.5,1.9,4.6,.406,3.5,6.9,.504,1.4,1.7,.813,1.0,4.6,5.6,2.1,1.5,0.6,1.2,1.9,13.9
Otto Porter Jr.,SF,25,WAS,41,28,29.0,4.9,10.8,1.6,4.3,.369,3.3,6.5,.515,1.2,1.6,.766,1.0,4.7,5.6,2.0,1.6,0.5,1.0,1.9,12.6
Norman Powell,SG,25,TOR,60,3,18.8,3.2,6.7,1.1,2.8,.400,2.1,3.8,.543,1.0,1.3,.827,0.3,2.1,2.3,1.5,0.7,0.2,1.1,1.6,8.6
Taurean Prince,SF,24,ATL,55,47,28.2,4.8,10.8,2.2,5.7,.390,2.5,5.1,.498,1.7,2.1,.819,0.4,3.2,3.6,2.1,1.0,0.3,1.8,2.6,13.5
Chasson Randle,PG,25,WAS,49,2,15.2,1.9,4.4,0.9,2.3,.400,0.9,2.1,.441,0.9,1.3,.694,0.2,0.9,1.1,2.0,0.5,0.1,0.9,1.9,5.5
J.J. Redick,SG,34,PHI,76,63,31.3,5.9,13.5,3.2,8.0,.397,2.8,5.6,.502,3.0,3.4,.894,0.3,2.2,2.4,2.7,0.4,0.2,1.3,1.7,18.1
Davon Reed,SG,23,IND,10,0,4.7,0.5,1.2,0.2,0.4,.500,0.3,0.8,.375,0.0,0.0,0,0.2,0.4,0.6,0.3,0.1,0.0,0.1,0.3,1.2
Cameron Reynolds,SG,23,MIN,19,0,13.6,1.7,4.1,1.1,2.7,.412,0.6,1.4,.444,0.4,0.5,.889,0.2,1.4,1.6,0.7,0.3,0.1,0.3,1.4,5.0
Josh Richardson,SG,25,MIA,73,73,34.8,5.8,14.1,2.2,6.3,.357,3.5,7.8,.458,2.7,3.2,.861,0.7,2.9,3.6,4.1,1.1,0.5,1.5,2.7,16.6
Malachi Richardson,SG,23,TOR,22,0,4.7,0.4,1.3,0.4,1.1,.320,0.0,0.2,.250,0.2,0.2,.800,0.1,0.5,0.6,0.0,0.0,0.0,0.4,0.6,1.4
Austin Rivers,SG,26,TOT,76,15,26.7,3.1,7.5,1.4,4.3,.318,1.7,3.2,.522,0.7,1.3,.526,0.3,1.8,2.1,2.2,0.6,0.3,0.9,2.7,8.1
Austin Rivers,SG,26,WAS,29,2,23.6,2.6,6.7,1.1,3.7,.311,1.5,3.0,.489,0.9,1.6,.543,0.3,2.1,2.4,2.0,0.6,0.3,1.2,2.5,7.2
Austin Rivers,SG,26,HOU,47,13,28.6,3.3,8.0,1.5,4.7,.321,1.8,3.3,.541,0.5,1.0,.510,0.3,1.6,1.9,2.3,0.6,0.3,0.7,2.9,8.7
Devin Robinson,SF,23,WAS,7,0,13.6,2.7,4.6,0.0,0.3,.000,2.7,4.3,.633,1.3,2.0,.643,0.9,2.0,2.9,0.9,0.6,0.9,0.3,1.6,6.7
Duncan Robinson,SF,24,MIA,15,1,10.7,1.2,3.1,0.7,2.3,.286,0.5,0.7,.727,0.3,0.4,.667,0.1,1.1,1.3,0.3,0.3,0.0,0.3,0.7,3.3
Glenn Robinson III,SF,25,DET,47,18,13.0,1.6,3.7,0.4,1.3,.290,1.2,2.4,.491,0.7,0.9,.800,0.4,1.1,1.5,0.4,0.3,0.2,0.4,1.0,4.2
Jerome Robinson,SG,21,LAC,33,0,9.7,1.3,3.3,0.5,1.7,.316,0.8,1.6,.491,0.2,0.3,.667,0.1,1.2,1.2,0.6,0.3,0.1,0.4,1.4,3.4
Mitchell Robinson,C,20,NYK,66,19,20.6,3.1,4.4,0.0,0.0,0,3.1,4.4,.694,1.2,2.0,.600,2.7,3.7,6.4,0.6,0.8,2.4,0.5,3.3,7.3
Rajon Rondo,PG,32,LAL,46,29,29.8,3.8,9.4,1.1,3.1,.359,2.7,6.3,.428,0.5,0.8,.639,0.7,4.5,5.3,8.0,1.2,0.2,2.8,2.2,9.2
Derrick Rose,PG,30,MIN,51,13,27.3,7.1,14.8,1.1,2.9,.370,6.1,11.9,.509,2.7,3.1,.856,0.6,2.1,2.7,4.3,0.6,0.2,1.6,1.1,18.0
Terrence Ross,SG,27,ORL,81,0,26.5,5.4,12.7,2.7,7.0,.383,2.8,5.7,.484,1.6,1.8,.875,0.3,3.1,3.5,1.7,0.9,0.4,1.1,1.5,15.1
Terry Rozier,PG,24,BOS,79,14,22.7,3.3,8.4,1.5,4.3,.353,1.8,4.2,.422,0.9,1.2,.785,0.4,3.5,3.9,2.9,0.9,0.3,0.9,1.3,9.0
Ricky Rubio,PG,28,UTA,68,67,27.9,4.3,10.7,1.2,3.7,.311,3.2,7.0,.454,2.9,3.4,.855,0.5,3.1,3.6,6.1,1.3,0.1,2.6,2.6,12.7
D'Angelo Russell,PG,22,BRK,81,81,30.2,8.1,18.7,2.9,7.8,.369,5.2,10.9,.482,2.0,2.5,.780,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1
Domantas Sabonis,C,22,IND,74,5,24.8,5.6,9.5,0.1,0.2,.529,5.5,9.2,.592,2.8,3.9,.715,2.5,6.8,9.3,2.9,0.6,0.4,2.2,3.2,14.1
Tomáš Satoranský,PG,27,WAS,80,54,27.1,3.2,6.6,0.8,2.0,.395,2.4,4.6,.524,1.6,2.0,.819,1.0,2.5,3.5,5.0,1.0,0.2,1.5,2.2,8.9
Dennis Schröder,PG,25,OKC,79,14,29.3,5.8,14.0,1.6,4.6,.341,4.2,9.4,.450,2.4,2.9,.819,0.5,3.1,3.6,4.1,0.8,0.2,2.2,2.4,15.5
Thabo Sefolosha,SF,34,UTA,50,2,12.2,1.4,3.0,0.7,1.6,.436,0.7,1.4,.521,0.3,0.4,.636,0.2,2.3,2.5,0.5,0.9,0.1,0.5,0.8,3.8
Wayne Selden,SG,24,TOT,75,13,19.2,2.6,6.4,0.7,2.3,.316,1.9,4.1,.456,0.9,1.2,.728,0.5,1.9,2.4,1.5,0.4,0.2,1.1,1.7,6.9
Wayne Selden,SG,24,MEM,32,0,14.2,2.0,5.0,0.6,2.0,.317,1.4,3.1,.459,0.7,0.9,.759,0.5,0.9,1.4,1.1,0.3,0.2,0.7,1.5,5.4
Collin Sexton,PG,20,CLE,82,72,31.8,6.3,14.7,1.5,3.6,.402,4.9,11.1,.440,2.6,3.1,.839,0.7,2.2,2.9,3.0,0.5,0.1,2.3,2.3,16.7
Landry Shamet,SG,21,TOT,79,27,22.8,3.0,7.1,2.1,5.0,.422,0.9,2.0,.453,0.9,1.2,.806,0.3,1.4,1.7,1.5,0.5,0.1,0.6,2.0,9.1
Landry Shamet,SG,21,PHI,54,4,20.5,2.8,6.4,1.8,4.5,.404,1.0,1.9,.529,0.8,1.0,.815,0.3,1.2,1.4,1.1,0.4,0.1,0.5,2.0,8.3
Landry Shamet,SG,21,LAC,25,23,27.8,3.5,8.4,2.7,6.0,.450,0.8,2.4,.322,1.2,1.6,.795,0.3,2.0,2.2,2.3,0.5,0.1,0.8,2.0,10.9
Iman Shumpert,SG,28,TOT,62,41,23.9,2.7,7.2,1.5,4.4,.348,1.2,2.8,.416,0.6,0.7,.800,0.4,2.5,3.0,1.8,1.0,0.4,0.8,2.0,7.5
Iman Shumpert,SG,28,SAC,42,40,26.2,3.2,8.3,1.8,4.8,.366,1.4,3.5,.404,0.8,1.0,.829,0.5,2.6,3.1,2.2,1.1,0.5,0.9,2.2,8.9
Iman Shumpert,SG,28,HOU,20,1,19.1,1.7,4.9,1.1,3.6,.296,0.7,1.4,.481,0.1,0.2,.500,0.4,2.3,2.7,1.1,0.6,0.2,0.6,1.8,4.6
Jordan Sibert,SG,26,ATL,1,0,4.0,1.0,1.0,1.0,1.0,1.000,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ben Simmons,PG,22,PHI,79,79,34.2,6.8,12.2,0.0,0.1,.000,6.8,12.1,.566,3.3,5.4,.600,2.2,6.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9
Jonathon Simmons,SG,29,ORL,41,9,20.6,2.5,7.0,0.5,2.0,.229,2.1,5.0,.419,1.4,1.8,.778,0.6,1.9,2.4,2.3,0.4,0.3,1.4,1.7,6.9
Jonathon Simmons,SF,29,PHI,15,0,14.6,1.9,4.3,0.6,1.4,.429,1.3,2.9,.465,1.1,1.7,.640,0.3,1.5,1.7,2.2,0.7,0.1,0.8,1.4,5.5
Kobi Simmons,PG,21,CLE,1,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Simons,SG,19,POR,20,1,7.1,1.4,3.2,0.5,1.5,.345,0.9,1.7,.529,0.5,0.8,.563,0.2,0.5,0.7,0.7,0.1,0.0,0.6,0.5,3.8
Marcus Smart,SG,24,BOS,80,60,27.5,3.0,7.1,1.6,4.3,.364,1.4,2.8,.511,1.3,1.6,.806,0.7,2.2,2.9,4.0,1.8,0.4,1.5,2.5,8.9
Dennis Smith Jr.,PG,21,TOT,53,50,28.5,5.2,12.3,1.3,3.9,.322,4.0,8.3,.477,1.9,2.9,.635,0.6,2.3,2.9,4.8,1.3,0.4,2.9,2.4,13.6
Dennis Smith Jr.,PG,21,NYK,21,18,28.6,5.8,14.0,1.1,4.0,.289,4.6,10.0,.462,2.0,3.5,.568,0.7,2.1,2.8,5.4,1.3,0.4,2.6,2.2,14.7
Ish Smith,PG,30,DET,56,0,22.3,3.7,8.7,0.8,2.4,.326,2.9,6.3,.455,0.8,1.1,.758,0.4,2.2,2.6,3.6,0.5,0.2,1.1,1.9,8.9
J.R. Smith,SG,33,CLE,11,4,20.2,2.5,7.2,1.1,3.5,.308,1.4,3.6,.375,0.7,0.9,.800,0.0,1.6,1.6,1.9,1.0,0.3,1.0,1.7,6.7
Jason Smith,C,32,WAS,12,1,10.8,1.3,3.1,0.3,0.8,.400,0.9,2.3,.407,0.8,1.0,.833,0.9,2.2,3.1,1.0,0.1,0.4,0.6,1.8,3.7
Jason Smith,C,32,NOP,2,0,10.0,1.0,4.5,1.0,3.5,.286,0.0,1.0,.000,1.0,1.0,1.000,1.0,1.0,2.0,0.5,0.0,0.0,0.5,1.5,4.0
Zhaire Smith,SG,19,PHI,6,2,18.5,2.3,5.7,1.0,2.7,.375,1.3,3.0,.444,1.0,1.3,.750,0.5,1.7,2.2,1.7,0.3,0.3,1.0,1.3,6.7
Tony Snell,SF,27,MIL,74,12,17.6,2.2,4.9,1.1,2.8,.397,1.1,2.1,.522,0.5,0.6,.881,0.4,1.7,2.1,0.9,0.4,0.2,0.3,1.2,6.0
Nik Stauskas,SG,25,TOT,68,0,14.9,2.0,5.0,1.0,2.8,.372,1.0,2.2,.440,0.8,0.9,.891,0.3,1.6,1.9,1.2,0.3,0.1,0.8,0.7,5.9
Nik Stauskas,SG,25,POR,44,0,15.3,2.2,5.2,1.0,2.8,.344,1.2,2.4,.510,0.7,0.8,.889,0.2,1.6,1.8,1.4,0.3,0.1,0.9,0.7,6.1
Nik Stauskas,SG,25,CLE,24,0,14.3,1.7,4.5,1.1,2.6,.429,0.5,1.9,.283,1.0,1.2,.893,0.3,1.6,2.0,0.8,0.3,0.1,0.5,0.8,5.5
D.J. Stephens,SG,28,MEM,1,0,7.0,1.0,2.0,0.0,0.0,0,1.0,2.0,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
Lance Stephenson,SG,28,LAL,68,3,16.5,2.7,6.4,1.1,2.9,.371,1.6,3.5,.472,0.7,1.1,.685,0.5,2.7,3.2,2.1,0.6,0.1,1.3,1.6,7.2
Edmond Sumner,PG,23,IND,23,2,9.1,1.0,2.8,0.3,1.2,.259,0.7,1.6,.405,0.7,1.0,.625,0.4,0.7,1.0,0.4,0.5,0.2,0.4,1.1,2.9
Jayson Tatum,SF,20,BOS,79,79,31.1,5.9,13.1,1.5,3.9,.373,4.4,9.2,.483,2.5,2.9,.855,0.9,5.2,6.0,2.1,1.1,0.7,1.5,2.1,15.7
Jeff Teague,PG,30,MIN,42,41,30.1,4.2,9.9,0.8,2.5,.333,3.4,7.4,.453,2.9,3.6,.804,0.4,2.1,2.5,8.2,1.0,0.4,2.3,2.1,12.1
Garrett Temple,SG,32,TOT,75,55,27.2,2.8,6.6,1.2,3.5,.341,1.6,3.1,.515,1.1,1.4,.748,0.4,2.5,2.9,1.4,1.0,0.4,0.9,2.7,7.8
Garrett Temple,SG,32,MEM,49,49,31.2,3.4,7.9,1.5,4.3,.352,1.9,3.6,.520,1.2,1.6,.750,0.4,2.7,3.1,1.4,1.0,0.5,1.1,2.7,9.4
Garrett Temple,SG,32,LAC,26,6,19.6,1.6,4.1,0.6,2.1,.296,1.0,2.0,.500,0.9,1.2,.742,0.4,2.1,2.5,1.4,1.0,0.2,0.6,2.7,4.7
Miloš Teodosić,PG,31,LAC,15,0,10.0,1.1,2.7,0.7,1.8,.370,0.5,0.9,.538,0.3,0.5,.571,0.2,0.9,1.1,2.1,0.2,0.1,1.4,1.8,3.2
Jared Terrell,SG,23,MIN,14,0,7.9,0.9,2.8,0.3,1.2,.235,0.6,1.6,.364,0.2,0.4,.500,0.1,0.4,0.4,0.9,0.2,0.1,0.7,1.1,2.2
Daniel Theis,C,26,BOS,66,2,13.8,2.2,4.0,0.4,1.0,.388,1.8,3.0,.603,0.8,1.2,.737,1.3,2.1,3.4,1.0,0.3,0.6,0.5,2.4,5.7
Isaiah Thomas,SG,29,DEN,12,0,15.1,2.8,8.3,1.0,3.6,.279,1.8,4.7,.393,1.4,2.3,.630,0.4,0.7,1.1,1.9,0.4,0.1,1.5,1.4,8.1
Khyri Thomas,SG,22,DET,26,0,7.5,0.8,2.7,0.4,1.3,.286,0.5,1.3,.353,0.3,0.4,.636,0.2,0.6,0.8,0.3,0.3,0.2,0.2,0.8,2.3
Klay Thompson,SG,28,GSW,78,78,34.0,8.4,18.0,3.1,7.7,.402,5.3,10.3,.516,1.7,2.0,.816,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2.0,21.5
Tristan Thompson,C,27,CLE,43,40,27.9,4.7,8.8,0.0,0.0,0,4.7,8.8,.529,1.6,2.5,.642,4.0,6.2,10.2,2.0,0.7,0.4,1.4,2.1,10.9
Sindarius Thornwell,SG,24,LAC,64,1,4.9,0.3,0.8,0.0,0.2,.200,0.2,0.5,.412,0.4,0.5,.735,0.1,0.6,0.7,0.3,0.2,0.1,0.3,0.6,1.0
Karl-Anthony Towns,C,23,MIN,77,77,33.1,8.8,17.1,1.8,4.6,.400,7.0,12.5,.562,4.9,5.8,.836,3.4,9.0,12.4,3.4,0.9,1.6,3.1,3.8,24.4
Gary Trent Jr.,SG,20,POR,15,1,7.4,1.1,3.3,0.3,1.4,.238,0.7,1.9,.379,0.2,0.5,.429,0.1,0.7,0.7,0.3,0.1,0.1,0.3,0.3,2.7
Allonzo Trier,SG,23,NYK,64,3,22.8,3.6,8.1,0.8,2.1,.394,2.8,6.0,.466,2.8,3.5,.803,0.5,2.6,3.1,1.9,0.4,0.2,1.8,1.8,10.9
Evan Turner,PG,30,POR,73,2,22.0,2.8,6.1,0.2,0.7,.212,2.6,5.4,.494,1.0,1.5,.708,0.5,4.0,4.5,3.9,0.5,0.2,1.6,1.5,6.8
Myles Turner,C,22,IND,74,74,28.6,5.1,10.5,1.0,2.6,.388,4.1,7.9,.521,2.0,2.7,.736,1.4,5.8,7.2,1.6,0.8,2.7,1.4,2.6,13.3
Ekpe Udoh,C,31,UTA,51,1,6.3,1.0,1.4,0.0,0.0,0,1.0,1.4,.694,0.4,0.6,.633,0.5,1.2,1.8,0.5,0.2,0.6,0.3,0.7,2.3
Jonas Valančiūnas,C,26,TOT,49,27,22.3,6.1,11.0,0.3,1.0,.292,5.9,10.0,.586,3.0,3.8,.795,2.2,6.4,8.6,1.4,0.4,1.1,1.8,3.0,15.6
Jonas Valančiūnas,C,26,TOR,30,10,18.8,5.0,8.6,0.3,1.0,.300,4.7,7.6,.611,2.6,3.1,.819,1.8,5.4,7.2,1.0,0.4,0.8,1.3,2.7,12.8
Jonas Valančiūnas,C,26,MEM,19,17,27.7,8.0,14.7,0.3,0.9,.278,7.7,13.7,.563,3.7,4.8,.769,2.7,7.9,10.7,2.2,0.3,1.6,2.7,3.4,19.9
Fred VanVleet,PG,24,TOR,64,28,27.5,3.8,9.4,1.8,4.6,.378,2.1,4.8,.441,1.5,1.8,.843,0.3,2.3,2.6,4.8,0.9,0.3,1.3,1.7,11.0
Nikola Vučević,C,28,ORL,80,80,31.4,8.8,16.9,1.1,2.9,.364,7.7,14.0,.549,2.2,2.8,.789,2.8,9.2,12.0,3.8,1.0,1.1,2.0,2.0,20.8
Dwyane Wade,SG,37,MIA,72,2,26.2,5.8,13.3,1.2,3.6,.330,4.6,9.7,.472,2.3,3.2,.708,1.0,3.0,4.0,4.2,0.8,0.5,2.3,1.6,15.0
Moritz Wagner,C,21,LAL,43,5,10.4,1.7,4.0,0.5,1.8,.286,1.1,2.2,.521,1.0,1.2,.811,0.4,1.6,2.0,0.6,0.3,0.3,0.9,1.3,4.8
Dion Waiters,SG,27,MIA,44,28,25.9,4.5,10.9,2.5,6.6,.377,2.0,4.3,.471,0.5,1.0,.500,0.2,2.5,2.6,2.8,0.7,0.2,1.5,1.6,12.0
Kemba Walker,PG,28,CHO,82,82,34.9,8.9,20.5,3.2,8.9,.356,5.7,11.6,.494,4.6,5.5,.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6
Lonnie Walker IV,SG,20,SAS,17,0,6.9,0.9,2.7,0.3,0.8,.385,0.6,1.9,.333,0.5,0.6,.800,0.0,1.0,1.0,0.5,0.4,0.2,0.2,0.4,2.6
John Wall,PG,28,WAS,32,32,34.5,7.7,17.3,1.6,5.3,.302,6.1,12.0,.507,3.8,5.5,.697,0.5,3.2,3.6,8.7,1.5,0.9,3.8,2.2,20.7
Tyrone Wallace,PG,24,LAC,62,0,10.1,1.5,3.5,0.1,0.3,.211,1.4,3.2,.444,0.5,0.9,.526,0.3,1.3,1.6,0.7,0.3,0.1,0.6,1.3,3.5
Brad Wanamaker,PG,29,BOS,36,0,9.5,1.4,2.9,0.4,1.1,.410,0.9,1.8,.515,0.7,0.8,.857,0.1,1.1,1.1,1.6,0.3,0.1,0.5,0.9,3.9
T.J. Warren,SF,25,PHO,43,36,31.6,6.9,14.2,1.8,4.2,.428,5.1,10.0,.510,2.3,2.9,.815,0.7,3.3,4.0,1.5,1.2,0.7,1.2,2.8,18.0
Julian Washburn,SF,27,MEM,18,3,14.1,0.9,2.7,0.3,1.3,.208,0.6,1.3,.458,0.2,0.2,.750,0.4,1.8,2.3,0.8,0.7,0.1,0.4,0.9,2.2
Yuta Watanabe,SF,24,MEM,15,0,11.6,1.0,3.4,0.1,1.1,.125,0.9,2.3,.371,0.5,0.7,.700,0.3,1.8,2.1,0.5,0.3,0.1,0.4,0.7,2.6
Thomas Welsh,C,22,DEN,11,0,3.3,0.6,1.2,0.3,0.6,.429,0.4,0.5,.667,0.1,0.2,.500,0.0,0.4,0.4,0.5,0.0,0.0,0.1,0.3,1.6
Russell Westbrook,PG,30,OKC,73,73,36.0,8.6,20.2,1.6,5.6,.290,7.0,14.5,.481,4.1,6.2,.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9
Derrick White,PG,24,SAS,67,55,25.8,3.9,8.1,0.7,2.1,.338,3.2,6.0,.529,1.4,1.8,.772,0.5,3.2,3.7,3.9,1.0,0.7,1.4,2.2,9.9
Hassan Whiteside,C,29,MIA,72,53,23.3,5.4,9.4,0.0,0.2,.125,5.4,9.2,.581,1.5,3.4,.449,3.6,7.8,11.3,0.8,0.6,1.9,1.3,2.7,12.3
Andrew Wiggins,SF,23,MIN,73,73,34.8,6.8,16.6,1.6,4.8,.339,5.2,11.8,.441,2.8,4.1,.699,1.1,3.7,4.8,2.5,1.0,0.7,1.9,2.1,18.1
C.J. Williams,SG,28,MIN,15,0,8.5,1.1,2.3,0.3,1.1,.313,0.8,1.3,.632,0.0,0.1,.000,0.1,0.5,0.5,0.8,0.4,0.0,0.3,1.1,2.6
Johnathan Williams,C,23,LAL,24,0,15.5,2.7,4.6,0.0,0.1,.000,2.7,4.5,.602,1.1,2.0,.563,2.0,2.1,4.1,0.5,0.3,0.3,0.7,2.6,6.5
Kenrich Williams,SF,24,NOP,46,29,23.5,2.3,6.1,1.1,3.4,.333,1.2,2.7,.447,0.3,0.4,.684,1.2,3.6,4.8,1.8,1.0,0.4,0.8,2.1,6.1
Lou Williams,SG,32,LAC,75,1,26.6,6.5,15.2,1.4,3.9,.361,5.1,11.3,.447,5.7,6.5,.876,0.5,2.4,3.0,5.4,0.8,0.1,2.4,1.1,20.0
Robert Williams,C,21,BOS,32,2,8.8,1.1,1.6,0.0,0.0,0,1.1,1.6,.706,0.3,0.5,.600,0.8,1.7,2.5,0.2,0.3,1.3,0.3,1.1,2.5
Troy Williams,SF,24,SAC,21,0,14.9,2.1,4.7,0.7,2.1,.318,1.4,2.6,.556,0.4,0.7,.600,0.6,2.2,2.8,0.5,0.5,0.4,0.4,1.8,5.3
Justise Winslow,SF,22,MIA,66,52,29.7,4.9,11.3,1.5,3.9,.375,3.5,7.5,.462,1.3,2.1,.628,1.0,4.4,5.4,4.3,1.1,0.3,2.2,2.7,12.6
Delon Wright,PG,26,TOT,75,13,22.7,3.2,7.4,0.7,2.2,.298,2.6,5.2,.492,1.6,2.0,.793,0.9,2.6,3.5,3.3,1.2,0.4,1.0,1.4,8.7
Delon Wright,PG,26,TOR,49,2,18.3,2.6,6.0,0.6,1.8,.333,2.0,4.1,.478,1.1,1.2,.869,0.8,1.8,2.6,2.2,0.9,0.3,0.8,1.1,6.9
Delon Wright,PG,26,MEM,26,11,30.8,4.4,10.2,0.8,3.0,.256,3.7,7.2,.508,2.5,3.4,.742,1.1,4.3,5.4,5.3,1.6,0.6,1.5,1.9,12.2
Nick Young,SG,33,DEN,4,0,9.3,0.8,2.3,0.8,2.0,.375,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,0.3,0.5,0.0,0.3,0.5,1.0,2.3
Trae Young,PG,20,ATL,81,81,30.9,6.5,15.5,1.9,6.0,.324,4.6,9.6,.477,4.2,5.1,.829,0.8,2.9,3.7,8.1,0.9,0.2,3.8,1.7,19.1
Cody Zeller,C,26,CHO,49,47,25.4,3.9,7.0,0.1,0.4,.273,3.8,6.6,.570,2.3,2.9,.787,2.2,4.6,6.8,2.1,0.8,0.8,1.3,3.3,10.1
Tyler Zeller,C,29,TOT,6,1,15.5,2.7,5.0,0.0,0.2,.000,2.7,4.8,.552,2.3,3.0,.778,1.8,2.2,4.0,0.7,0.2,0.5,0.7,3.3,7.7
Tyler Zeller,C,29,ATL,2,0,5.5,0.0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,1.0,2.0,3.0,0.5,0.0,0.0,0.0,2.0,0.0
Tyler Zeller,C,29,MEM,4,1,20.5,4.0,7.0,0.0,0.0,0,4.0,7.0,.571,3.5,4.5,.778,2.3,2.3,4.5,0.8,0.3,0.8,1.0,4.0,11.5
Ante Žižić,C,22,CLE,59,25,18.3,3.1,5.6,0.0,0.0,0,3.1,5.6,.553,1.6,2.2,.705,1.8,3.6,5.4,0.9,0.2,0.4,1.0,1.9,7.8
Ivica Zubac,C,21,TOT,59,37,17.6,3.6,6.4,0.0,0.0,0,3.6,6.4,.559,1.7,2.1,.802,1.9,4.2,6.1,1.1,0.2,0.9,1.2,2.3,8.9
Ivica Zubac,C,21,LAL,33,12,15.6,3.4,5.8,0.0,0.0,0,3.4,5.8,.580,1.7,2.0,.864,1.6,3.3,4.9,0.8,0.1,0.8,1.0,2.2,8.5
Ivica Zubac,C,21,LAC,26,25,20.2,3.8,7.2,0.0,0.0,0,3.8,7.2,.538,1.7,2.3,.733,2.3,5.3,7.7,1.5,0.4,0.9,1.4,2.5,9.4
